Data File Name,2100 expert_Eukaryote Total RNA Nano_DE13805377_2020-05-25_11-42-52.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-05-25
Date Created,"Monday, May 25, 2020 9:42:52 AM"
Date Last Modified,"Monday, May 25, 2020 10:06:42 AM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,Ladder
Number of Events,1060
 
Time,Value
17,-9.446207E-02
17.05,-0.1013456
17.1,-0.1119569
17.15,-0.0773975
17.2,-2.610191E-02
17.25,4.906464E-02
17.3,0.1041401
17.35,0.1210679
17.4,0.0966427
17.45,4.412068E-02
17.5,-9.938558E-03
17.55,-4.331344E-02
17.6,-5.273037E-02
17.65,-6.738468E-02
17.7,-8.295611E-02
17.75,-8.778381E-02
17.8,-5.999132E-02
17.85,-2.265216E-02
17.9,1.676758E-02
17.95,5.280104E-02
18,3.772736E-02
18.05,3.037331E-02
18.1,0.019224
18.15,1.349569E-02
18.2,1.261715E-03
18.25,-3.418223E-02
18.3,-8.312611E-02
18.35,-0.1254659
18.4,-0.1628128
18.45,-0.1702298
18.5,-0.1537399
18.55,-0.1145419
18.6,-5.782883E-02
18.65,-1.137881E-02
18.7,1.385329E-02
18.75,-2.186966E-02
18.8,-0.0672275
18.85,-0.0656895
18.9,-7.977232E-02
18.95,-6.258545E-02
19,-4.509227E-02
19.05,-3.453669E-02
19.1,-4.562724E-02
19.15,-5.326669E-02
19.2,-5.434274E-02
19.25,-5.772654E-02
19.3,-5.870666E-02
19.35,-4.786061E-02
19.4,-2.580534E-02
19.45,-2.159267E-03
19.5,8.087158E-04
19.55,-2.389314E-02
19.6,-4.671829E-02
19.65,-7.689785E-02
19.7,-9.990984E-02
19.75,-6.045659E-02
19.8,-2.996024E-02
19.85,-1.460924E-02
19.9,1.756069E-03
19.95,3.235752E-02
20,4.970169E-02
20.05,6.589097E-02
20.1,8.124781E-02
20.15,4.417889E-02
20.2,8.992769E-03
20.25,-1.154327E-02
20.3,5.322693E-03
20.35,4.865475E-02
20.4,0.1314826
20.45,0.2337225
20.5,0.2827517
20.55,0.2526371
20.6,0.1633418
20.65,6.269632E-02
20.7,-8.514402E-03
20.75,9.235382E-03
20.8,0.1318509
20.85,0.2203344
20.9,0.2279913
20.95,0.1843407
21,0.1439362
21.05,9.238152E-02
21.1,8.829861E-02
21.15,0.1638842
21.2,0.2373487
21.25,0.3145205
21.3,0.38687
21.35,0.3996212
21.4,0.338882
21.45,0.2515606
21.5,0.1861026
21.55,0.1387346
21.6,0.1270141
21.65,0.1131336
21.7,7.939728E-02
21.75,8.614349E-02
21.8,0.1271858
21.85,0.1730022
21.9,0.1827141
21.95,0.1667577
22,0.1281713
22.05,0.1054525
22.1,5.889412E-02
22.15,-9.940276E-03
22.2,0.1066531
22.25,1.194444
22.3,4.248956
22.35,9.529799
22.4,15.89411
22.45,21.0735
22.5,23.01733
22.55,20.91377
22.6,16.17544
22.65,10.77243
22.7,6.278332
22.75,3.3027
22.8,1.591862
22.85,0.7233515
22.9,0.3492931
22.95,0.2596192
23,0.294342
23.05,0.3315127
23.1,0.3305854
23.15,0.2754631
23.2,0.2040844
23.25,0.1404266
23.3,0.1531581
23.35,0.2262233
23.4,0.2662473
23.45,0.3047188
23.5,0.3502032
23.55,0.3741829
23.6,0.383818
23.65,0.4050762
23.7,0.4139054
23.75,0.4154892
23.8,0.3830533
23.85,0.3281063
23.9,0.3069271
23.95,0.3030171
24,0.3397522
24.05,0.402397
24.1,0.456963
