Data File Name,2100 expert_Eukaryote Total RNA Nano_DE13805377_2020-05-25_11-42-52.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\Data\2020-05-25
Date Created,"Monday, May 25, 2020 9:42:52 AM"
Date Last Modified,"Monday, May 25, 2020 10:06:42 AM"
Version Created,B.02.10.SI764
Version Last Modified,B.02.10.SI764
 
Assay Name,Eukaryote Total RNA Nano Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
Assay Title,Eukaryote Total RNA Nano
Assay Version,2.6
 
Number of Samples Run,12
 
Sample Name,0 ng
Number of Events,1060
 
Time,Value
17,0.1265221
17.05,9.585937E-02
17.1,4.814087E-02
17.15,-9.68496E-03
17.2,-4.868675E-02
17.25,-6.229433E-02
17.3,-0.0235484
17.35,0.0486288
17.4,6.774266E-02
17.45,-2.02726E-03
17.5,-0.1160362
17.55,-0.1337101
17.6,-8.141746E-02
17.65,-4.197501E-02
17.7,4.048718E-02
17.75,6.254714E-02
17.8,-5.499763E-03
17.85,-0.0900989
17.9,-0.1302361
17.95,-0.1510637
18,-0.1492554
18.05,-6.823412E-02
18.1,-1.401619E-02
18.15,-2.048481E-02
18.2,-6.396807E-02
18.25,-8.867367E-02
18.3,-9.081192E-02
18.35,-6.574017E-02
18.4,-3.569883E-02
18.45,-3.374534E-02
18.5,-4.685604E-02
18.55,-0.021835
18.6,3.542368E-02
18.65,4.448098E-02
18.7,4.123722E-02
18.75,0.0375455
18.8,4.236805E-02
18.85,6.174003E-02
18.9,8.405182E-02
18.95,6.707121E-02
19,2.13447E-03
19.05,-6.107944E-02
19.1,-0.1050721
19.15,-0.1153029
19.2,-0.1362718
19.25,-0.1326608
19.3,-0.1805122
19.35,-0.1999347
19.4,-0.1815086
19.45,-0.1500925
19.5,-0.1117278
19.55,-9.767823E-02
19.6,-9.819296E-02
19.65,-0.1077984
19.7,-0.1011567
19.75,-9.598271E-02
19.8,-0.1368208
19.85,-0.1441382
19.9,-0.1280126
19.95,-9.700597E-02
20,-8.547936E-02
20.05,-7.102329E-02
20.1,-4.382064E-02
20.15,-4.384822E-02
20.2,-3.176614E-02
20.25,-9.567973E-03
20.3,-4.867166E-02
20.35,-0.1113309
20.4,-0.1661965
20.45,-0.1833522
20.5,-0.1616649
20.55,-9.361769E-02
20.6,-6.561773E-02
20.65,-0.1083036
20.7,-0.1736976
20.75,-0.2174628
20.8,-0.2170631
20.85,-0.1805872
20.9,-0.1536859
20.95,-0.1734313
21,-0.2369012
21.05,-0.2672309
21.1,-0.2564017
21.15,-0.2157426
21.2,-0.1714643
21.25,-0.1357713
21.3,-0.1226834
21.35,-0.1478996
21.4,-0.1674589
21.45,-0.2222973
21.5,-0.2812134
21.55,-0.2539737
21.6,-0.2270557
21.65,-0.1979204
21.7,-0.1828785
21.75,-0.2122564
21.8,-0.243427
21.85,-0.2496419
21.9,-0.2207763
21.95,-0.2644918
22,-0.2466834
22.05,-0.2050525
22.1,-0.1798349
22.15,-0.207143
22.2,-0.2257021
22.25,0.2605973
22.3,2.333426
22.35,6.707024
22.4,12.67817
22.45,18.31686
22.5,21.40853
22.55,20.53679
22.6,16.59699
22.65,11.47563
22.7,6.849173
22.75,3.526793
22.8,1.52243
22.85,0.5110177
22.9,0.1207897
22.95,-2.518697E-02
23,-8.696236E-02
23.05,-0.1488876
23.1,-0.1956946
23.15,-0.1808333
23.2,-0.1713153
23.25,-0.1499095
23.3,-0.1405945
23.35,-0.1272015
23.4,-9.173035E-02
23.45,-4.849337E-02
23.5,-1.436075E-02
23.55,0.0100051
23.6,4.141007E-02
23.65,5.305374E-02
23.7,3.554581E-02
23.75,2.162515E-02
23.8,3.931441E-03
23.85,-4.627588E-02
