perioden;bof;tyfus;difterie;hepatitus_a;kinkhoest;legionellose;malaria;mazelen;meningokokkenziekte;polio;qkoorts;rubella;shigellose;tuberculose;aids;hiv
1900;;2900;;;;;;;;;;;;;;
1901;;2777;;;;;;;;;;;;;;
1902;;2314;;;;;;;;;;;;;;
1903;;2880;3583;;;;;;;;;;21;;;
1904;;3059;3748;;;;;;;;;;2;;;
1905;;2746;3508;;;;;;;;;;10;;;
1906;;2737;3608;;;;;;;;;;14;;;
1907;;2621;2735;;;;;;;;;;3;;;
1908;;2339;3463;;;;;;;;;;7;;;
1909;;2011;3598;;;;;;;;;;10;;;
1910;;2029;3261;;;;;;;;;;1;;;
1911;;2097;4456;;;;;;;;;;7;;;
1912;;1392;5051;;;;;;;;;;26;;;
1913;;1515;5443;;;;;;;;;;8;;;
1914;;1713;5728;;;;;;;;;;7;;;
1915;;1712;5476;;;;;;20;;;;38;;;
1916;;1561;5745;;;;;;226;;;;2;;;
1917;;2404;7431;;;;;;582;;;;27;;;
1918;;4156;13327;;;;;;236;;;;113;;;
1919;;4382;10900;;;;;;122;;;;16;;;
1920;;2223;8060;;;;;;133;;;;11;;;
1921;;2014;7575;;;;;;120;;;;20;;;
1922;;1134;4744;;;;;;132;;;;14;;;
1923;;1390;4134;;;;;;111;;;;7;;;
1924;;1187;4451;;;;;;106;38;;;40;9038;;
1925;;1160;4714;;;;;;115;32;;;180;7433;;
1926;;1220;3629;;;;;;93;49;;;97;7584;;
1927;;776;3620;;;;;;108;50;;;63;8139;;
1928;;885;4417;;;;;;119;75;;;65;8389;;
1929;;700;4888;;;;;;152;511;;;61;8226;;
1930;;855;7450;;;;;;140;599;;;72;8872;;
1931;;616;5693;;;;;;178;136;;;162;10243;;
1932;;679;5353;;;;;;164;242;;;753;9485;;
1933;;675;4251;;;;;;136;146;;;415;10192;;
1934;;492;2990;;;;;;113;197;;;328;9261;;
1935;;443;1762;;;;;;89;52;;;382;8806;;
1936;;410;1544;;;;;;89;101;;;386;8568;;
1937;;355;1068;;;;;;100;60;;;408;8797;;
1938;;272;1272;;;;;;132;687;;;1000;8393;;
1939;;332;1273;;;;;;150;403;;;703;8540;;
1940;;209;1733;;;;;;277;111;;;1185;7620;;
1941;;248;5437;;;;678;;433;445;;;3415;11838;;
1942;;775;19407;;;;743;;178;196;;;4132;15545;;
1943;;707;56790;;;;853;;158;1931;;;5346;18571;;
1944;;679;60400;;;;2550;;221;1218;;;3952;18918;;
1945;;5981;50005;;;;2913;;215;200;;;2605;19104;;
1946;;1582;27003;;;;8456;;886;357;;;265;18506;;
1947;;1128;10390;;;;1931;;956;693;;;264;16491;;
1948;;828;4313;;;;1873;;337;81;;;285;17947;;
1949;;732;3364;;;;265;;296;160;;;807;17508;;
1950;;688;2985;;;;449;;282;77;;;434;16108;;
1951;;427;2765;2635;;;186;;321;568;;5742;614;14880;;
